Genome ID	Source ID	Source	Host	Function	Reference Name	Reference Accession	Reference Phylum	Reference Order	Reference Genus	Reference Name	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
GISB1621	1898205.352	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin102	GCA_009780725.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin102	o__Clostridiales (UID1212)	172	263	57.48	5.03	0	32.33	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRAB01;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1622	1898205.353	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P4bin38	GCA_009780985.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P4bin38	o__Clostridiales (UID1212)	172	263	91.19	3.33	10	74.54	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__WRJC01;g__WRJC01;s__WRJC01 sp009780985	p__Bacillota_A	GCA_009780985.1	95	100	GCA_009780985.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1623	1898205.353	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P3bin72	GCA_009781425.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P3bin72	o__Clostridiales (UID1212)	172	263	94.3	0	0	94.3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009781425	p__Bacillota_A	GCA_009781425.1	95	100	GCA_009781425.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1624	1898205.353	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P3bin58	GCA_009781515.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P3bin58	o__Clostridiales (UID1212)	172	263	91.44	1.34	50	84.74	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009781515	p__Bacillota_A	GCA_009781515.1	95	100	GCA_009781515.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1625	1898205.353	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P1bin128	GCA_009781695.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P1bin128	o__Clostridiales (UID1212)	172	263	96.64	0.67	0	93.29	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009781695	p__Bacillota_A	GCA_009781695.1	95	100	GCA_009781695.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1626	1898205.353	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P1bin123	GCA_009781715.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P1bin123	o__Clostridiales (UID1212)	172	263	60.08	4.54	10	37.38	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRAB01;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1627	1898205.353	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P1bin116	GCA_009781805.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P1bin116	o__Clostridiales (UID1120)	304	250	52.87	4.2	25	31.87	d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__WQVL01;s__	p__Bacillota_A	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB1628	1898205.353	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P1bin108	GCA_009781855.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P1bin108	o__Clostridiales (UID1212)	172	263	91.28	2.18	0	80.38	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009781855	p__Bacillota_A	GCA_009781855.1	95	100	GCA_009781855.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1629	1898205.353	Public Database	Termes hospes	None	Ruminococcaceae bacterium strain Th196P3bin109	GCA_009782215.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Th196P3bin109	o__Clostridiales (UID1212)	172	263	91.22	6.38	0	59.32	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__UBA929;s__UBA929 sp009782215	p__Bacillota_A	GCA_009782215.1	95	100	GCA_009782215.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1630	1898205.353	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin86	GCA_009782265.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin86	o__Clostridiales (UID1212)	172	263	84.73	3.69	14.29	66.28	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009782265	p__Bacillota_A	GCA_009782265.1	95	100	GCA_009782265.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1631	1898205.353	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin72	GCA_009782385.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin72	o__Clostridiales (UID1212)	172	263	86.58	2.01	66.67	76.53	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__WRMG01;s__WRMG01 sp009782385	p__Bacillota_A	GCA_009782385.1	95	100	GCA_009782385.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1632	1898205.354	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin70	GCA_009782405.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin70	o__Clostridiales (UID1212)	172	263	81.82	3.29	44.44	65.37	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__WRJC01;g__WRJC01;s__WRJC01 sp009782405	p__Bacillota_A	GCA_009782405.1	95	100	GCA_009782405.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1633	1898205.354	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin67	GCA_009782435.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin67	o__Clostridiales (UID1212)	172	263	91.5	2.63	25	78.35	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRJA01;s__WRJA01 sp009782435	p__Bacillota_A	GCA_009782435.1	95	100	GCA_009782435.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1634	1898205.354	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin68	GCA_009782445.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin68	o__Clostridiales (UID1212)	172	263	55.35	1.59	20	47.4	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1635	1898205.354	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin64	GCA_009782475.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin64	o__Clostridiales (UID1212)	172	263	87.42	1.01	0	82.37	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__UBA929;s__UBA929 sp009782475	p__Bacillota_A	GCA_009782475.1	95	100	GCA_009782475.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1636	1898205.354	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin47	GCA_009782665.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin47	o__Clostridiales (UID1212)	172	263	75.21	2.68	0	61.81	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRIP01;s__WRIP01 sp009782665	p__Bacillota_A	GCA_009782665.1	95	100	GCA_009782665.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1637	1898205.354	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin121	GCA_009783205.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin121	o__Clostridiales (UID1212)	172	263	89.15	0.67	0	85.8	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009783205	p__Bacillota_A	GCA_009783205.1	95	100	GCA_009783205.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1638	1898205.354	Public Database	Neocapritermes taracua	None	Ruminococcaceae bacterium strain Nt197P3bin116	GCA_009783265.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Nt197P3bin116	o__Clostridiales (UID1212)	172	263	85.57	0	0	85.57	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__WRJC01;g__WRJC01;s__WRJC01 sp009783265	p__Bacillota_A	GCA_009783265.1	95	100	GCA_009783265.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1639	1898205.354	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin200	GCA_009783555.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin200	o__Clostridiales (UID1212)	172	263	89.81	0.67	0	86.46	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009783555	p__Bacillota_A	GCA_009783555.1	95	100	GCA_009783555.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1640	1898205.354	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin192	GCA_009783605.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin192	o__Clostridiales (UID1212)	172	263	76.29	1.73	20	67.64	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__WRDE01;s__WRDE01 sp009783605	p__Bacillota_A	GCA_009783605.1	95	100	GCA_009783605.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1641	1898205.354	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin172	GCA_009783695.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin172	o__Clostridiales (UID1212)	172	263	89.93	1.34	50	83.23	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009783695	p__Bacillota_A	GCA_009783695.1	95	100	GCA_009783695.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1642	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin160	GCA_009783805.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin160	o__Clostridiales (UID1120)	304	250	62.72	2.1	25	52.22	d__Bacteria;p__Bacillota_A;c__Clostridia;o__WRCU01;f__WRCU01;g__WRCU01;s__WRCU01 sp009783805	p__Bacillota_A	GCA_009783805.1	95	100	GCA_009783805.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1643	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin140	GCA_009783875.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin140	o__Clostridiales (UID1212)	172	263	57.42	3.94	37.5	37.72	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRIP01;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1644	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin124	GCA_009783995.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin124	o__Clostridiales (UID1212)	172	263	53.07	2.13	33.33	42.42	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__	p__Bacillota_A	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB1645	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin208	GCA_009784075.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin208	o__Clostridiales (UID1212)	172	263	55.43	1.48	100	48.03	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	p__Bacillota_A	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB1646	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin121	GCA_009784085.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin121	o__Clostridiales (UID1212)	172	263	82.38	0	0	82.38	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__UBA929;g__WRCJ01;s__WRCJ01 sp009784085	p__Bacillota_A	GCA_009784085.1	95	100	GCA_009784085.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1647	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P3bin1	GCA_009784335.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P3bin1	o__Clostridiales (UID1212)	172	263	54.39	0.34	100	52.69	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__WRBX01;g__WRBX01;s__WRBX01 sp009784335	p__Bacillota_A	GCA_009784335.1	95	100	GCA_009784335.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1648	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin84	GCA_009784445.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin84	o__Clostridiales (UID1212)	172	263	87.75	0.67	0	84.4	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__WRMQ01;s__WRMQ01 sp009784445	p__Bacillota_A	GCA_009784445.1	95	100	GCA_009784445.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1649	1898205.355	Public Database	Labiotermes labralis	None	Ruminococcaceae bacterium strain Lab288P1bin74	GCA_009784625.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Lab288P1bin74	o__Clostridiales (UID1212)	172	263	97.65	0.67	100	94.3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__WRAV01;s__WRAV01 sp009784625	p__Bacillota_A	GCA_009784625.1	95	100	GCA_009784625.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1650	1898205.355	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P3bin50	GCA_009784725.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P3bin50	o__Clostridiales (UID1212)	172	263	91.78	0	0	91.78	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__WRMH01;s__WRMH01 sp009784725	p__Bacillota_A	GCA_009784725.1	95	100	GCA_009784725.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1651	1898205.355	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P3bin33	GCA_009784765.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P3bin33	o__Clostridiales (UID1212)	172	263	66.11	0.29	42.86	64.66	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009784765	p__Bacillota_A	GCA_009784765.1	95	100	GCA_009784765.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1652	1898205.356	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P3bin19	GCA_009784825.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P3bin19	o__Clostridiales (UID1212)	172	263	92.39	0	0	92.39	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E;s__Ruminiclostridium_E sp009784825	p__Bacillota_A	GCA_009784825.1	95	99.99	GCA_009784825.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1653	1898205.356	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P3bin136	GCA_009785015.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P3bin136	o__Clostridiales (UID1212)	172	263	85.51	4.22	18.18	64.41	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__WRJC01;g__WRJC01;s__WRJC01 sp009785015	p__Bacillota_A	GCA_009785015.1	95	100	GCA_009785015.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1654	1898205.356	Public Database	Embiratermes neotenicus	None	Ruminococcaceae bacterium strain Emb289P1bin98	GCA_009785335.1	Bacillota	Eubacteriales	None	Ruminococcaceae bacterium strain Emb289P1bin98	o__Clostridiales (UID1212)	172	263	91.33	2.01	33.33	81.28	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__WRMQ01;s__WRMQ01 sp009785335	p__Bacillota_A	GCA_009785335.1	95	100	GCA_009785335.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
